"id","nid","game","sotry","song","tz","title","unit"
"1A_U1","99"," xbz1au1_game.flv"," xbz1au1_story.flv"," xbz1au1_song.flv"," xbz1au1_tz.flv","Hello!","Unit 1"
"1A_U2","100"," xbz1au2_game.flv"," xbz1au2_story.flv"," xbz1au2_song.flv"," xbz1au2_tz.flv","Mummy and Daddy","Unit 2"
"1A_U3","101"," xbz1au3_game.flv"," xbz1au3_story.flv"," xbz1au3_song.flv"," xbz1a_tz1.flv","I'm Lingling","Unit 3"
"1A_U4","102"," xbz1au4_game.flv"," xbz1au4_story.flv"," xbz1au4_song.flv"," xbz1au4_tz.flv","Clap Your Hands","Unit 4"
"1A_U5","103"," xbz1au5_game.flv"," xbz1au5_story.flv"," xbz1au5_song.flv"," xbz1au5_tz.flv","One, Two!","Unit 5"
"1A_U6","104"," xbz1au6_game.flv"," xbz1au6_story.flv"," xbz1au6_song.flv"," xbz1a_tz2.flv","Face and Eyes","Unit 6"
"1A_U7","105"," xbz1au7_game.flv"," xbz1au7_story.flv"," xbz1au7_song.flv"," xbz1au7_tz.flv","Hello, Mummy","Unit 7"
"1A_U8","106"," xbz1au8_game.flv"," xbz1au8_story.flv"," xbz1au8_song.flv"," xbz1au8_tz.flv","Little and Big","Unit 8"
"1A_U9","107"," xbz1au9_game.flv"," xbz1au9_story.flv"," xbz1au9_song.flv"," xbz1a_tz3.flv","Good Night","Unit 9"
"1A_U10","108"," xbz1au10_game.flv"," xbz1au10_story.flv"," xbz1au10_song.flv"," xbz1au10_tz.flv","I See a Dog","Unit 10"
"1A_U11","109"," xbz1au11_game.flv"," xbz1au11_story.flv"," xbz1au11_song.flv"," xbz1au11_tz.flv","Jump, Little Rabbit","Unit 11"
"1A_U12","110"," xbz1au12_game.flv"," xbz1au12_story.flv"," xbz1au12_song.flv"," xbz1a_tz4.flv","Chinese New Year","Unit 12"
"1B_U1","111"," xbz1bu1_game.flv"," xbz1bu1_story.flv"," xbz1bu1_song.flv"," xbz1bu1_tz.flv","At School","Unit 13"
"1B_U2","112"," xbz1bu2_game.flv"," xbz1bu2_story.flv"," xbz1bu2_song.flv"," xbz1bu2_tz.flv","This Is My Crayon","Unit 14"
"1B_U3","113"," xbz1bu3_game.flv"," xbz1bu3_story.flv"," xbz1bu3_song.flv"," xbz1b_tz1.flv","It's Red. It's Blue","Unit 15"
"1B_U4","114"," xbz1bu4_game.flv"," xbz1bu4_story.flv"," xbz1bu4_song.flv"," xbz1bu4_tz.flv","Apples and Bananas","Unit 16"
"1B_U5","115"," xbz1bu5_game.flv"," xbz1bu5_story.flv"," xbz1bu5_song.flv"," xbz1bu5_tz.flv","It's Yellow","Unit 17"
"1B_U6","116"," xbz1bu6_game.flv"," xbz1bu6_story.flv"," xbz1bu6_song.flv"," xbz1b_tz2.flv","Three Pears","Unit 18"
"1B_U7","117"," xbz1bu7_game.flv"," xbz1bu7_story.flv"," xbz1bu7_song.flv"," xbz1bu7_tz.flv","Happy Mother's Day ","Unit 19"
"1B_U8","118"," xbz1bu8_game.flv"," xbz1bu8_story.flv"," xbz1bu8_song.flv"," xbz1bu8_tz.flv","Let's Play","Unit 20"
"1B_U9","119"," xbz1bu9_game.flv"," xbz1bu9_story.flv"," xbz1bu9_song.flv"," xbz1b_tz3.flv","One, Two, Three... Go!","Unit 21"
"1B_U10","120"," xbz1bu10_game.flv"," xbz1bu10_story.flv"," xbz1bu10_song.flv"," xbz1bu10_tz.flv","A Puppet, Please","Unit 22"
"1B_U11","121"," xbz1bu11_game.flv"," xbz1bu11_story.flv"," xbz1bu11_song.flv"," xbz1bu11_tz.flv","Can I Play?","Unit 23"
"1B_U12","122"," xbz1bu12_game.flv"," xbz1bu12_story.flv"," xbz1bu12_song.flv"," xbz1b_tz4.flv","Let's Tidy Up","Unit 24"
"2A_U1","123"," xbz2au1_game.flv"," xbz2au1_story.flv"," xbz2au1_song.flv"," xbz2au1_tz.flv","Hello!","Unit 1"
"2A_U2","124"," xbz2au2_game.flv"," xbz2au2_story.flv"," xbz2au2_song.flv"," xbz2au2_tz.flv","How Are You?","Unit 2"
"2A_U3","125"," xbz2au3_game.flv"," xbz2au3_story.flv"," xbz2au3_song.flv"," xbz2a_tz1.flv","Girls and Boys","Unit 3"
"2A_U4","126"," xbz2au4_game.flv"," xbz2au4_story.flv"," xbz2au4_song.flv"," xbz2au4_tz.flv","My Face","Unit 4"
"2A_U5","127"," xbz2au5_game.flv"," xbz2au5_story.flv"," xbz2au5_song.flv"," xbz2au5_tz.flv","I'm Happy","Unit 5"
"2A_U6","128"," xbz2au6_game.flv"," xbz2au6_story.flv"," xbz2au6_song.flv"," xbz2a_tz2.flv","Wiggle Your Fingers","Unit 6"
"2A_U7","129"," xbz2au7_game.flv"," xbz2au7_story.flv"," xbz2au7_song.flv"," xbz2au7_tz.flv","Morning Routines","Unit 7"
"2A_U8","130"," xbz2au8_game.flv"," xbz2au8_story.flv"," xbz2au8_song.flv"," xbz2au8_tz.flv","Get Dressed","Unit 8"
"2A_U9","131"," xbz2au9_game.flv"," xbz2au9_story.flv"," xbz2au9_song.flv"," xbz2a_tz3.flv","It's Christmas","Unit 9"
"2A_U10","132"," xbz2au10_game.flv"," xbz2au10_story.flv"," xbz2au10_song.flv"," xbz2au10_tz.flv","Animals","Unit 10"
"2A_U11","133"," xbz2au11_game.flv"," xbz2au11_story.flv"," xbz2au11_song.flv"," xbz2au11_tz.flv","It's Brown","Unit 11"
"2A_U12","134"," xbz2au12_game.flv"," xbz2au12_story.flv"," xbz2au12_song.flv"," xbz2a_tz4.flv","What Can a Fish Do?","Unit 12"
"2B_U1","135"," xbz2bu1_game.flv"," xbz2bu1_story.flv"," xbz2bu1_song.flv"," xbz2bu1_tz.flv","Pass the Pencil","Unit 13"
"2B_U2","136"," xbz2bu2_game.flv"," xbz2bu2_story.flv"," xbz2bu2_song.flv"," xbz2bu2_tz.flv","Counting","Unit 14"
"2B_U3","137"," xbz2bu3_game.flv"," xbz2bu3_story.flv"," xbz2bu3_song.flv"," xbz2b_tz1.flv","Your Turn","Unit 15"
"2B_U4","138"," xbz2bu4_game.flv"," xbz2bu4_story.flv"," xbz2bu4_song.flv"," xbz2bu4_tz.flv","Stir the Soup","Unit 16"
"2B_U5","139"," xbz2bu5_game.flv"," xbz2bu5_story.flv"," xbz2bu5_song.flv"," xbz2bu5_tz.flv","I'm Thirsty","Unit 17"
"2B_U6","140"," xbz2bu6_game.flv"," xbz2bu6_story.flv"," xbz2bu6_song.flv"," xbz2b_tz2.flv","Green Bananas","Unit 18"
"2B_U7","141"," xbz2bu7_game.flv"," xbz2bu7_story.flv"," xbz2bu7_song.flv"," xbz2bu7_tz.flv","Happy Birthday！","Unit 19"
"2B_U8","142"," xbz2bu8_game.flv"," xbz2bu8_story.flv"," xbz2bu8_song.flv"," xbz2bu8_tz.flv","Happy Farther's Day！","Unit 20"
"2B_U9","143"," xbz2bu9_game.flv"," xbz2bu9_story.flv"," xbz2bu9_song.flv"," xbz2b_tz3.flv","It's Hot","Unit 21"
"2B_U10","144"," xbz2bu10_game.flv"," xbz2bu10_story.flv"," xbz2bu10_song.flv"," xbz2bu10_tz.flv","Toys","Unit 22"
"2B_U11","145"," xbz2bu11_game.flv"," xbz2bu11_story.flv"," xbz2bu11_song.flv"," xbz2bu11_tz.flv","Seesaw","Unit 23"
"2B_U12","146"," xbz2bu12_game.flv"," xbz2bu12_story.flv"," xbz2bu12_song.flv"," xbz2b_tz4.flv","What Can You Do?","Unit 24"
"3A_U1","147"," xbz3au1_game.flv"," xbz3au1_story.flv"," xbz3au1_song.flv"," xbz3au1_tz.flv","What's Your Name?","Unit 1"
"3A_U2","148"," xbz3au2_game.flv"," xbz3au2_story.flv"," xbz3au2_song.flv"," xbz3au2_tz.flv","How Do You Feel?","Unit 2"
"3A_U3","149"," xbz3au3_game.flv"," xbz3au3_story.flv"," xbz3au3_song.flv"," xbz3a_tz1.flv","The Moon Festival","Unit 3"
"3A_U4","150"," xbz3au4_game.flv"," xbz3au4_story.flv"," xbz3au4_song.flv"," xbz3au4_tz.flv","Look at Me!","Unit 4"
"3A_U5","151"," xbz3au5_game.flv"," xbz3au5_story.flv"," xbz3au5_song.flv"," xbz3au5_tz.flv","What's Wrong?","Unit 5"
"3A_U6","152"," xbz3au6_game.flv"," xbz3au6_story.flv"," xbz3au6_song.flv"," xbz3a_tz2.flv","Brush Your Teeth!","Unit 6"
"3A_U7","153"," xbz3au7_game.flv"," xbz3au7_story.flv"," xbz3au7_song.flv"," xbz3au7_tz.flv","Grandma and Grandpa","Unit 7"
"3A_U8","154"," xbz3au8_game.flv"," xbz3au8_story.flv"," xbz3au8_song.flv"," xbz3au8_tz.flv","You Look Very Nice","Unit 8"
"3A_U9","155"," xbz3au9_game.flv"," xbz3au9_story.flv"," xbz3au9_song.flv"," xbz3a_tz3.flv","Purple Glasses","Unit 9"
"3A_U10","156"," xbz3au10_game.flv"," xbz3au10_story.flv"," xbz3au10_song.flv"," xbz3au10_tz.flv","Farm Animals","Unit 10"
"3A_U11","157"," xbz3au11_game.flv"," xbz3au11_story.flv"," xbz3au11_song.flv"," xbz3au11_tz.flv","A Pink Pig","Unit 11"
"3A_U12","158"," xbz3au12_game.flv"," xbz3au12_story.flv"," xbz3au12_song.flv"," xbz3a_tz4.flv","Jumping and Dancing","Unit 12"
"3B_U1","159"," xbz3bu1_game.flv"," xbz3bu1_story.flv"," xbz3bu1_song.flv"," xbz3bu1_tz.flv","Point to the Window","Unit 13"
"3B_U2","160"," xbz3bu2_game.flv"," xbz3bu2_story.flv"," xbz3bu2_song.flv"," xbz3bu2_tz.flv","Circle, Square, Triangle","Unit 14"
"3B_U3","161"," xbz3bu3_game.flv"," xbz3bu3_story.flv"," xbz3bu3_song.flv"," xbz3b_tz1.flv","In the Kitchen","Unit 15"
"3B_U4","162"," xbz3bu4_game.flv"," xbz3bu4_story.flv"," xbz3bu4_song.flv"," xbz3bu4_tz.flv","Yummy!","Unit 16"
"3B_U5","163"," xbz3bu5_game.flv"," xbz3bu5_story.flv"," xbz3bu5_song.flv"," xbz3bu5_tz.flv","Please Pass the Plate","Unit 17"
"3B_U6","164"," xbz3bu6_game.flv"," xbz3bu6_story.flv"," xbz3bu6_song.flv"," xbz3b_tz2.flv","My Favourite Food","Unit 18"
"3B_U7","165"," xbz3bu7_game.flv"," xbz3bu7_story-.flv"," xbz3bu7_song.flv"," xbz3bu7_tz.flv","What Can You Hear?","Unit 19"
"3B_U8","166"," xbz3bu8_game.flv"," xbz3bu8_story.flv"," xbz3bu8_song.flv"," xbz3bu8_tz.flv","Children's Day","Unit 20"
"3B_U9","167"," xbz3bu9_game.flv"," xbz3bu9_story.flv"," xbz3bu9_song.flv"," xbz3b_tz3.flv","The Weather","Unit 21"
"3B_U10","168"," xbz3bu10_game.flv"," xbz3bu10_story.flv"," xbz3bu10_song.flv"," xbz3bu10_tz.flv","Puzzles","Unit 22"
"3B_U11","169"," xbz3bu11_game.flv"," xbz3bu11_story.flv"," xbz3bu11_song.flv"," xbz3bu11_tz.flv","We Make Toys","Unit 23"
"3B_U12","170"," xbz3bu12_game.flv"," xbz3bu12_story.flv"," xbz3bu12_song.flv"," xbz3b_tz4.flv","We Can Play","Unit 24"
